117,2,145.29915,0,0.2905983
125,2,129.84,0,0.4
133,4,112.63158,0,0.49624062
134,5,103.35821,0,0.5074627
136,5,94.92647,0,0.5294118
141,5,84.75177,0,0.58156025
141,4,79.007095,0,0.58156025
145,3,71.24138,0,0.62068963
147,3,63.129253,0,0.6394558
133,4,61.804512,8.0,0.7067669
120,3,64.4,7.75,0.8
103,4,67.81554,8.777778,0.6407767
86,3,79.93023,9.31746,0.4651163
77,4,82.597404,9.383562,0.38961038
74,5,79.27027,9.564102,0.35135135
74,7,69.54054,9.632912,0.35135135
75,7,64.08,9.632912,0.37333333
77,5,63.298702,9.6625,0.44155845
78,5,57.74359,9.6625,0.46153846
39,6,121.128204,12.775,0.974359
40,7,113.7,12.727273,1.05
39,9,107.53846,12.67742,1.1282052
35,11,110.685715,12.734375,1.0285715
33,11,119.878784,12.7384615,1.030303
30,11,135.66667,12.834586,0.93333334
30,9,152.33333,12.834586,0.93333334
28,10,160.67857,12.874074,0.85714287
25,12,170.6,12.913043,0.8
25,13,168.6,12.913043,0.8
24,14,174.16667,13.021583,0.8333333
24,15,172.5,13.021583,0.8333333
24,16,170.83333,13.021583,0.8333333
21,15,214.61905,13.288733,0.5714286
20,16,225.4,13.27972,0.6
510.6,51.0,778.5988952636719,57.007757568359374,4.567011857032776
